scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
10,abb_f2_010,cp_only,0.0,abb_future,0.0,0.0,1266.1666205441434,,,,0.0,0.0,0.0,0.0,100.0,954.2475865824993,0.0,2220.4142071266424,0.0,0.0,0.0,-16564.996926895114,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,954.2475865824993,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,2220.4142071266424,0.0,5692.078
11,abb_f2_011,cp_only,0.0,abb_future,0.0,0.0,1641.3271007053713,,,,0.0,0.0,0.0,0.0,100.0,583.6422149107473,0.0,2224.969315616119,0.0,0.0,0.0,-16598.979486494878,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,583.6422149107473,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2224.969315616119,0.0,5692.078
12,abb_f2_012,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,2025.8023604,0.0,2025.8023604,0.0,0.0,0.0,-15113.130589246359,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,2025.8023604,100.0,100.0,0.0,0.0,0.0,2025.8023604,0.0,5692.078
13,abb_f2_013,cp_only,0.0,abb_future,0.0,0.0,857.9664390050805,,,,0.0,0.0,0.0,0.0,100.0,1290.7853922578192,0.0,2148.7518312629,0.0,0.0,0.0,-16030.372786882484,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1290.7853922578192,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2148.7518312629,0.0,5692.078
14,abb_f2_014,cp_only,0.0,abb_future,0.0,0.0,1266.1666205441434,,,,0.0,0.0,0.0,0.0,100.0,930.4343415869513,0.0,2196.6009621310945,0.0,0.0,0.0,-16387.342537500295,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,930.4343415869513,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,2196.6009621310945,0.0,5692.078
15,abb_f2_015,cp_only,0.0,abb_future,0.0,0.0,1641.3271007053713,,,,0.0,0.0,0.0,0.0,100.0,589.9407432642852,0.0,2231.2678439696565,0.0,0.0,0.0,-16645.96851335547,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,589.9407432642852,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2231.2678439696565,0.0,5692.078
16,abb_f2_016,bau,0.0,abb_future,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,2120.4193686000003,0.0,2120.4193686000003,0.0,0.0,0.0,-15819.003594847987,0.0,0.0,0.0,0.0,5692.078,0.0,5161.08344588,2120.4193686000003,100.0,100.0,0.0,0.0,0.0,2120.4193686000003,0.0,5692.078
17,abb_f2_017,cp_only,0.0,abb_future,0.0,0.0,857.9664390050805,,,,0.0,0.0,0.0,0.0,100.0,1445.3652689122534,0.0,2303.331707917334,0.0,0.0,0.0,-17183.587882301155,0.0,0.0,0.0,3882.1777124965492,4530.203971667126,88.61529551825191,5053.921374816014,1445.3652689122534,23.03453826470513,23.034538264704736,20.412124154533267,20.412124154533274,0.0,2303.331707917334,0.0,5692.078
18,abb_f2_018,cp_only,0.0,abb_future,0.0,0.0,1266.1666205441434,,,,0.0,0.0,0.0,0.0,100.0,1139.7097409885987,0.0,2405.876361532742,0.0,0.0,0.0,-17948.603646727788,0.0,0.0,0.0,6638.532618929722,4258.775423981436,141.8082323353319,4998.262453720844,1139.7097409885987,17.756836474010075,17.756836474010413,25.180655922469164,25.180655922469157,0.0,2405.876361532742,0.0,5692.078
19,abb_f2_019,cp_only,0.0,abb_future,0.0,0.0,1641.3271007053713,,,,0.0,0.0,0.0,0.0,100.0,856.2576117574189,0.0,2497.5847124627903,0.0,0.0,0.0,-18632.77714302908,0.0,0.0,0.0,9423.73964555072,4065.4838489049303,194.13531923922704,4979.49274829628,856.2576117574189,14.719864404356745,14.719864404356926,28.576455752979314,28.576455752979314,0.0,2497.5847124627903,0.0,5692.078
