scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
10,demo_w2_010,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1122926.2626653896,0.0,96749.3056608264,-96749.3056608264,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,96749.3056608264,0.0,408522.8142766657
11,demo_w2_011,en_pv,72.0,W,18000.0,4195.4202784481795,29319.79778200752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1208001.7335449331,0.0,104079.25510632827,-104079.25510632827,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,104079.25510632827,0.0,408522.8142766657
12,demo_w2_012,en_pv,72.0,W,18000.0,6774.572088969601,8201.702757458123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1036673.396369351,0.0,89317.91394540755,-89317.91394540755,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,89317.91394540755,0.0,408522.8142766657
13,demo_w2_013,en_pv,72.0,W,18000.0,6774.572088969601,18492.518481438598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1156114.3283923557,0.0,99608.72966938803,-99608.72966938803,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,99608.72966938803,0.0,408522.8142766657
14,demo_w2_014,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,56341.63909897983,-1131866.9211395653,0.0,97519.61670286568,-97519.61670286568,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,97519.61670286568,0.0,408522.8142766657
15,demo_w2_015,en_pv,72.0,W,18000.0,6774.572088969601,14659.89889100376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1067785.8624683032,0.0,91998.50802584593,-91998.50802584593,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,91998.50802584593,0.0,408522.8142766657
16,demo_w2_016,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1152861.3333478472,0.0,99328.45747134782,-99328.45747134782,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,99328.45747134782,0.0,408522.8142766657
17,demo_w2_017,en_pv,72.0,W,18000.0,6774.572088969601,29319.79778200752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,52564.037045872574,-1237936.8042273899,0.0,106658.4069168497,-106658.4069168497,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,52564.037045872574,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,106658.4069168497,0.0,408522.8142766657
18,demo_w2_018,en_pv,72.0,W,18000.0,2647.9291921353265,8201.702757458123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,64257.093749844214,-1080648.4532840839,0.0,93106.72569943767,-93106.72569943767,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,64257.093749844214,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,93106.72569943767,0.0,408522.8142766657
19,demo_w2_019,en_pv,72.0,W,18000.0,2647.9291921353265,18492.518481438598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19513.328814461664,64257.093749844214,-1200089.3853070883,0.0,103397.54142341815,-103397.54142341815,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,64257.093749844214,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,103397.54142341815,0.0,408522.8142766657
