scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
12,demo_wenapt_012,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,49441.9677570895,-1086689.7897078882,101248.153490679,93627.23637204332,7620.917118635681,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,93627.2363720433,0.0,408522.8142766657
13,demo_wenapt_013,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,53219.56981019676,-1095630.448182063,108951.4887061873,94397.54741408261,14553.941292104702,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,94397.54741408258,0.0,408522.8142766657
14,demo_wenapt_014,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,0.0,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,53219.56981019676,-1095630.4481820632,104122.15146166472,94397.54741408261,9724.604047582112,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,94397.54741408261,0.0,408522.8142766657
15,demo_wenapt_015,en_pv,72.0,W,18000.0,6774.572088969601,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,53219.56981019676,-1095630.4481820636,101248.153490679,94397.54741408261,6850.6060765963975,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,53219.56981019676,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,94397.54741408263,0.0,408522.8142766657
16,demo_wenapt_016,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,0.0,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,49441.9677570895,-1116624.8603903458,108951.4887061873,96206.38818256475,12745.100523622557,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,96206.38818256475,0.0,408522.8142766657
17,demo_wenapt_017,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,49441.9677570895,-1116624.8603903458,104122.15146166472,96206.38818256475,7915.763279099967,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,96206.38818256477,0.0,408522.8142766657
18,demo_wenapt_018,en_pv,72.0,W,18000.0,6774.572088969601,21989.848336505645,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,0.0,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,49441.9677570895,-1116624.8603903458,101248.153490679,96206.38818256475,5041.765308114253,63678.52337365445,274070.7773627635,48.49926451191443,33860.225485776544,49441.9677570895,67.86032236458934,67.86032236458901,32.91175724224001,32.91175724223976,0.0,96206.38818256475,0.0,408522.8142766657
19,demo_wenapt_019,bau,72.0,W,0.0,0.0,0.0,1399.4147733468194,0.0,1399.4147733468194,0.0,0.0,0.0,0.0,21.55713016986636,22720.490186041665,0.0,22720.490186041665,0.0,0.0,0.0,-1433158.4653852535,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37844.83484501855,123478.35386701243,100.0,100.0,0.0,0.0,0.0,123478.35386701243,0.0,408522.8142766657
20,demo_wenapt_020,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1234.7777411883699,0.0,1234.7777411883699,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,20047.491340624998,0.0,20047.491340624998,0.0,17562.010530678584,61135.02446106113,-1139605.5050967967,108951.4887061873,98186.3591681127,10765.129538074601,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,98186.35916811273,0.0,408522.8142766657
21,demo_wenapt_021,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1202.0796181973294,0.0,1202.0796181973294,0.0,0.0,0.0,0.0,21.55713016986636,17572.418951456973,0.0,17572.418951456973,0.0,17562.010530678584,61135.02446106113,-1139605.5050967962,104122.15146166472,98186.3591681127,5935.792293552011,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,98186.3591681127,0.0,408522.8142766657
22,demo_wenapt_022,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,17562.010530678584,61135.02446106113,-1139605.5050967962,101248.153490679,98186.3591681127,3061.794322566297,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,61135.02446106113,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,98186.35916811269,0.0,408522.8142766657
