timestamp,A01,A02,A03,A04,A05,A06,cp
11/3/18 10:30,405.44,282.42,0.815,275.64,0.815,275.64,0
11/3/18 11:00,389.76,281.46,0.815,274.56,0.815,274.56,0
11/3/18 11:30,383.119,276.42,0.813,274.62,0.813,274.62,0
11/3/18 12:00,378.56,271.8,0.816,279.48,0.816,279.48,0
11/3/18 12:30,370.959,265.02,1.629,281.46,1.629,281.46,0
11/3/18 13:00,370.399,263.64,0.879,281.82,0.879,281.82,0
11/3/18 13:30,387.04,255.539,0.814,280.02,0.814,280.02,0
11/3/18 14:00,360.56,249.36,0.817,274.26,0.817,274.26,0
11/3/18 14:30,361.439,243.6,0.811,265.2,0.811,265.2,0
11/3/18 15:00,362.159,239.22,0.804,268.14,0.804,268.14,0
11/3/18 15:30,359.52,216.719,0.801,261,0.801,261,0
11/3/18 16:00,192.559,142.92,1.43,193.379,1.43,193.379,0
11/3/18 16:30,70.959,84.66,0.808,160.019,0.808,160.019,0
11/3/18 17:00,73.12,71.46,0.809,145.8,0.809,145.8,0
11/3/18 17:30,71.52,69.9,0.812,144.96,0.812,144.96,0
11/3/18 18:00,69.44,68.64,0.815,142.74,0.815,142.74,0
11/3/18 18:30,69.76,64.08,0.81,142.86,0.81,142.86,0
11/3/18 19:00,44.72,63.96,0.806,142.08,0.806,142.08,0
11/3/18 19:30,61.44,62.82,0.812,138.6,0.812,138.6,0
11/3/18 20:00,56.96,60.66,0.814,133.32,0.814,133.32,0
11/3/18 20:30,36.16,61.439,0.813,134.1,0.813,134.1,0
11/3/18 21:00,55.359,62.579,1.7,128.52,1.7,128.52,0
11/3/18 21:30,31.12,62.82,0.82,124.98,0.82,124.98,0
11/3/18 22:00,44.64,61.38,0.823,118.62,0.823,118.62,0
11/3/18 22:30,33.438,60.72,0.826,104.82,0.826,104.82,0
11/3/18 23:00,51.68,68.7,0.821,82.979,0.821,82.979,0
11/3/18 23:30,31.839,81.42,0.821,78.899,0.821,78.899,0
12/3/18 0:00,8.719,68.94,1.418,68.46,1.418,68.46,0
12/3/18 0:30,7.12,64.02,0.973,63.659,0.973,63.659,0
12/3/18 1:00,7.68,65.04,0.819,63,0.819,63,0
12/3/18 1:30,8.24,67.499,0.816,67.68,0.816,67.68,0
12/3/18 2:00,7.04,65.1,0.817,74.34,0.817,74.34,0
12/3/18 2:30,7.68,69.6,0.818,73.86,0.818,73.86,0
12/3/18 3:00,6.48,74.22,0.819,74.52,0.819,74.52,0
12/3/18 3:30,6.639,71.22,0.817,75.299,0.817,75.299,0
12/3/18 4:00,6.639,77.64,0.814,74.16,0.814,74.16,0
12/3/18 4:30,7.36,92.94,0.812,85.14,0.812,85.14,0
12/3/18 5:00,58.96,87.539,0.806,91.14,0.806,91.14,0
12/3/18 5:30,56.24,91.86,0.804,84.898,0.804,84.898,0
12/3/18 6:00,39.52,91.92,21.504,110.1,21.504,110.1,0
12/3/18 6:30,94.318,110.28,18.683,113.4,18.683,113.4,0
12/3/18 7:00,119.279,193.199,13.638,120.479,13.638,120.479,0
12/3/18 7:30,90.639,199.68,13.965,134.76,13.965,134.76,0
12/3/18 8:00,106.64,222.479,13.432,150.419,13.432,150.419,0
12/3/18 8:30,109.28,247.5,13.564,192.42,13.564,192.42,0
12/3/18 9:00,110.32,272.1,13.458,224.4,13.458,224.4,0
12/3/18 9:30,126.88,269.76,13.558,247.079,13.558,247.079,0
12/3/18 10:00,126.799,266.819,13.246,255.299,13.246,255.299,0
12/3/18 10:30,132.957,271.68,13.44,258.899,13.44,258.899,0
12/3/18 11:00,141.119,265.86,13.712,268.92,13.712,268.92,0
12/3/18 11:30,139.84,263.819,13.755,273.6,13.755,273.6,0
12/3/18 12:00,162.08,258.06,14.006,279.419,14.006,279.419,0
12/3/18 12:30,228,257.64,14.016,268.62,14.016,268.62,0
12/3/18 13:00,317.76,257.58,13.82,275.58,13.82,275.58,0
12/3/18 13:30,296.639,251.639,14.104,273.12,14.104,273.12,0
12/3/18 14:00,307.198,253.14,14.069,268.2,14.069,268.2,0
12/3/18 14:30,306.56,237.899,14.142,264.96,14.142,264.96,0
12/3/18 15:00,305.359,234.599,14.468,256.559,14.468,256.559,0
12/3/18 15:30,306.88,217.38,15.334,250.8,15.334,250.8,0
12/3/18 16:00,281.918,159.36,14.13,230.399,14.13,230.399,0
12/3/18 16:30,193.439,87.12,1.342,158.28,1.342,158.28,0
12/3/18 17:00,40.56,73.08,1.063,151.739,1.063,151.739,0
12/3/18 17:30,39.76,69.78,1.064,147.42,1.064,147.42,0
12/3/18 18:00,37.84,64.739,1.057,149.46,1.057,149.46,0
12/3/18 18:30,57.76,63.36,1.047,145.919,1.047,145.919,0
12/3/18 19:00,64.399,61.86,1.045,138.24,1.045,138.24,0
12/3/18 19:30,33.92,62.64,1.055,131.88,1.055,131.88,0
12/3/18 20:00,33.84,56.28,1.06,121.379,1.06,121.379,0
12/3/18 20:30,24.879,59.16,1.06,113.279,1.06,113.279,0
12/3/18 21:00,24.64,58.8,1.059,113.999,1.059,113.999,0
12/3/18 21:30,24.56,58.138,1.065,106.2,1.065,106.2,0
12/3/18 22:00,63.76,60.12,1.071,102.42,1.071,102.42,0
12/3/18 22:30,26.88,59.58,1.073,94.32,1.073,94.32,0
12/3/18 23:00,24.32,56.879,1.067,81.3,1.067,81.3,0
12/3/18 23:30,23.76,74.7,1.695,76.44,1.695,76.44,0
13/3/18 0:00,7.2,75.12,2.035,68.82,2.035,68.82,0
13/3/18 0:30,8,65.04,1.058,70.56,1.058,70.56,0
13/3/18 1:00,6.96,64.14,1.064,62.7,1.064,62.7,0
13/3/18 1:30,7.279,64.739,1.065,60.66,1.065,60.66,0
13/3/18 2:00,6.319,63.78,1.062,60.78,1.062,60.78,0
13/3/18 2:30,7.04,64.919,1.065,61.139,1.065,61.139,0
13/3/18 3:00,6,71.7,1.064,61.019,1.064,61.019,0
13/3/18 3:30,7.2,74.46,1.061,64.08,1.061,64.08,0
13/3/18 4:00,6.398,79.14,1.054,64.499,1.054,64.499,0
13/3/18 4:30,6.8,91.199,1.049,67.92,1.049,67.92,0
13/3/18 5:00,43.36,98.94,1.049,70.44,1.049,70.44,0
13/3/18 5:30,58,125.879,1.044,72.54,1.044,72.54,0
13/3/18 6:00,39.6,152.34,8.998,100.439,8.998,100.439,0
