,,,943.4058372,14.83580551
Row Labels,Sum of grid_export,,above 10kWh,
410,11.94749428,11.94749428,1.947494281,
411,10.50503909,10.50503909,0.505039091,
412,11.10316289,11.10316289,1.103162888,
413,12.05358671,12.05358671,2.05358671,
414,11.32927151,11.32927151,1.329271509,
415,8.354311911,8.354311911,0,
416,11.15313051,11.15313051,1.153130514,
417,1.965577279,1.965577279,0,
418,2.956337428,2.956337428,0,
419,7.108604846,7.108604846,0,
420,10.2322775,10.2322775,0.232277504,
421,7.86293397,7.86293397,0,
422,5.763418042,5.763418042,0,
423,1.281432817,1.281432817,0,
424,9.44929331,9.44929331,0,
425,10.06756289,10.06756289,0.067562888,
426,10.15006144,10.15006144,0.150061437,
427,10.33539509,10.33539509,0.335395091,
428,8.082833048,8.082833048,0,
429,6.105578158,6.105578158,0,
430,2.548630983,2.548630983,0,
501,3.35791309,3.35791309,0,
502,9.704628165,9.704628165,0,
503,8.645181666,8.645181666,0,
504,7.080887324,7.080887324,0,
505,5.338868629,5.338868629,0,
506,10.0846498,10.0846498,0.084649799,
507,9.688498331,9.688498331,0,
508,8.872507609,8.872507609,0,
509,7.792664871,7.792664871,0,
510,9.18975622,9.18975622,0,
511,9.154077589,9.154077589,0,
512,10.63627128,10.63627128,0.636271284,
513,9.648755164,9.648755164,0,
514,8.593776252,8.593776252,0,
515,8.578262991,8.578262991,0,
516,7.108419462,7.108419462,0,
517,2.939378509,2.939378509,0,
518,2.57141361,2.57141361,0,
519,6.818022033,6.818022033,0,
520,7.686473889,7.686473889,0,
521,6.740855529,6.740855529,0,
522,6.351220524,6.351220524,0,
523,2.994916264,2.994916264,0,
524,4.418515486,4.418515486,0,
525,1.916770021,1.916770021,0,
526,0.806478721,0.806478721,0,
527,4.862555953,4.862555953,0,
528,5.832868858,5.832868858,0,
529,1.690585207,1.690585207,0,
530,5.50222002,5.50222002,0,
531,3.902083815,3.902083815,0,
601,6.877455775,6.877455775,0,
602,2.115034081,2.115034081,0,
603,2.41645026,2.41645026,0,
604,3.893820418,3.893820418,0,
605,2.331997629,2.331997629,0,
606,7.368984116,7.368984116,0,
607,5.778652998,5.778652998,0,
608,2.308551617,2.308551617,0,
609,2.214322243,2.214322243,0,
610,3.912136457,3.912136457,0,
611,4.539907902,4.539907902,0,
612,4.35850666,4.35850666,0,
613,6.174984582,6.174984582,0,
614,7.068404362,7.068404362,0,
615,6.516749527,6.516749527,0,
616,6.38495469,6.38495469,0,
617,4.302039054,4.302039054,0,
618,8.170911418,8.170911418,0,
619,7.650044911,7.650044911,0,
620,3.604075244,3.604075244,0,
621,1.822398032,1.822398032,0,
622,1.896275058,1.896275058,0,
623,4.976170561,4.976170561,0,
624,5.176951904,5.176951904,0,
625,7.593337667,7.593337667,0,
626,6.015951536,6.015951536,0,
627,7.765124748,7.765124748,0,
628,4.091866422,4.091866422,0,
629,5.127982625,5.127982625,0,
630,3.354913131,3.354913131,0,
701,3.681941628,3.681941628,0,
702,1.316857662,1.316857662,0,
703,5.467409605,5.467409605,0,
704,7.711751976,7.711751976,0,
705,8.025617131,8.025617131,0,
706,7.763195049,7.763195049,0,
707,4.402652548,4.402652548,0,
708,4.090742455,4.090742455,0,
709,5.281052748,5.281052748,0,
710,5.760635765,5.760635765,0,
711,5.586650351,5.586650351,0,
712,3.077844049,3.077844049,0,
713,8.144252834,8.144252834,0,
714,8.003632736,8.003632736,0,
715,7.991562275,7.991562275,0,
716,8.406659599,8.406659599,0,
717,3.630770875,3.630770875,0,
718,7.645943197,7.645943197,0,
719,5.144008221,5.144008221,0,
720,4.128678284,4.128678284,0,
721,8.919472351,8.919472351,0,
722,3.029104782,3.029104782,0,
723,8.940675087,8.940675087,0,
724,9.506612855,9.506612855,0,
725,9.65821661,9.65821661,0,
726,9.959177018,9.959177018,0,
727,9.263157866,9.263157866,0,
728,10.15977939,10.15977939,0.159779388,
729,9.956688582,9.956688582,0,
730,10.63386128,10.63386128,0.633861276,
731,10.16960362,10.16960362,0.16960362,
801,10.2909542,10.2909542,0.290954196,
802,10.56487698,10.56487698,0.564876978,
