scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
23,demo_wtest2_023,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1203.9073829384802,0.0,1203.9073829384802,0.0,0.0,0.0,0.0,21.51363780654435,17572.41895146432,0.0,17572.41895146432,0.0,19513.328813778622,52621.47059569083,-1105631.8259851076,104253.75052303496,95259.24812433179,8994.502398703173,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433179,0.0,409348.6914634251
24,demo_wtest2_024,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1172.6107925904516,0.0,1172.6107925904516,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,16945.657557025566,0.0,16945.657557025566,0.0,19513.328813778622,52621.47059569083,-1105631.8259851073,101373.63462353824,95259.24812433179,6114.386499206443,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433177,0.0,409348.6914634251
25,demo_wtest2_025,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1154.25587993639,0.0,1154.25587993639,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,18710.991917926698,0.0,18710.991917926698,0.0,19513.328813778622,52621.47059569083,-1105631.8259851078,101817.41527334669,95259.24812433179,6558.167149014901,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433182,0.0,409348.6914634251
26,demo_wtest2_026,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1123.6468907425815,0.0,1123.6468907425815,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,16400.924354700033,0.0,16400.924354700033,0.0,19513.328813778622,52621.47059569083,-1105631.8259851078,97303.50048816594,95259.24812433179,2044.252363834139,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433182,0.0,409348.6914634251
27,demo_wtest2_027,en_pv,72.0,W,18000.0,2647.9291921353265,21989.848336505645,1094.436739751088,0.0,1094.436739751088,0.0,0.0,0.0,0.0,21.51363780654435,15815.947053223867,0.0,15815.947053223867,0.0,19513.328813778622,52621.47059569083,-1105631.8259851076,94615.39231530204,95259.24812433179,-643.8558090297505,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,95259.24812433179,0.0,409348.6914634251
28,demo_wtest2_028,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,0.0,90908.55069840873,-90908.55069840873,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
29,demo_wtest2_029,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,0.0,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,123635.43283192119,90908.55069840873,32726.88213351246,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
30,demo_wtest2_030,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1364.4283673302775,0.0,1364.4283673302775,0.0,0.0,0.0,0.0,21.51363780654435,19915.408144992896,0.0,19915.408144992896,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,118154.25059277279,90908.55069840873,27245.699894364065,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
31,demo_wtest2_031,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1328.958898269176,0.0,1328.958898269176,0.0,0.0,0.0,0.0,21.51363780654435,19205.07856462898,0.0,19205.07856462898,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,114890.11924000984,90908.55069840873,23981.568541601115,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
32,demo_wtest2_032,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1319.1495770701615,0.0,1319.1495770701615,0.0,0.0,0.0,0.0,21.51363780654435,21383.990763344802,0.0,21383.990763344802,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,116362.76031239645,90908.55069840873,25454.20961398773,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
